study_hours_per_week,attendance_percent,previous_score,sleep_hours,absences,parental_education,internet_access,extracurricular_activities,part_time_job,study_method,final_score,pass_fail,performance_category
22.7,82.7,70.0,6.6,8,Bachelors,Yes,Yes,No,Online Courses,79.79,Pass,Good
2.2,91.2,69.7,7.4,5,Bachelors,No,No,No,Self-study,46.17,Pass,Below Average
11.2,63.0,72.0,3.8,6,Bachelors,No,No,No,Online Courses,48.02,Pass,Below Average
14.9,58.9,42.0,6.5,14,High School,Yes,Yes,Yes,Tutoring,37.18,Fail,Poor
13.4,61.7,76.4,6.9,8,Bachelors,Yes,Yes,No,Self-study,50.18,Pass,Average
8.9,95.2,74.2,7.8,5,Masters,Yes,Yes,Yes,Self-study,60.38,Pass,Average
11.0,73.4,49.7,7.6,9,Bachelors,Yes,Yes,Yes,Group Study,53.94,Pass,Average
9.5,100.0,61.3,7.5,5,High School,Yes,Yes,No,Online Courses,55.68,Pass,Average
9.1,73.2,64.4,5.7,5,PhD,Yes,No,No,Self-study,55.52,Pass,Average
16.2,82.2,63.0,4.2,3,Masters,Yes,Yes,Yes,Tutoring,53.61,Pass,Average
13.8,98.5,70.0,6.2,4,High School,Yes,No,No,Self-study,62.57,Pass,Average
8.5,100.0,86.5,8.0,4,High School,Yes,Yes,Yes,Self-study,64.87,Pass,Average
16.5,100.0,81.2,8.5,7,Masters,Yes,No,No,Group Study,74.09,Pass,Good
13.5,94.5,45.3,7.6,3,Masters,Yes,Yes,No,Tutoring,57.68,Pass,Average
16.1,92.3,74.3,7.3,2,PhD,No,No,No,Tutoring,72.66,Pass,Good
15.1,87.1,84.9,7.2,7,Masters,Yes,Yes,No,Online Courses,68.31,Pass,Average
7.9,89.3,70.8,6.0,4,Bachelors,Yes,Yes,No,Tutoring,54.55,Pass,Average
9.2,73.4,81.4,6.5,4,Bachelors,Yes,No,No,Self-study,51.35,Pass,Average
15.7,70.2,95.2,8.9,6,High School,Yes,Yes,No,Tutoring,67.96,Pass,Average
15.1,80.0,80.4,5.5,6,High School,Yes,No,No,Tutoring,66.72,Pass,Average
11.9,78.0,68.7,8.8,3,Bachelors,Yes,No,No,Self-study,71.9,Pass,Good
12.6,74.6,80.7,6.3,6,Bachelors,Yes,No,No,Group Study,55.26,Pass,Average
18.4,88.4,67.2,8.4,6,Bachelors,Yes,No,No,Online Courses,84.69,Pass,Good
9.0,91.5,65.4,4.9,2,Masters,Yes,No,Yes,Online Courses,48.84,Pass,Below Average
14.7,81.1,59.7,7.5,4,High School,Yes,Yes,Yes,Group Study,61.52,Pass,Average
11.0,97.7,88.5,5.7,5,Bachelors,Yes,No,No,Self-study,65.26,Pass,Average
10.9,66.3,52.7,4.9,10,High School,Yes,No,No,Online Courses,32.52,Fail,Poor
17.5,77.7,88.0,7.0,8,Bachelors,Yes,Yes,No,Group Study,65.66,Pass,Average
16.1,71.4,72.5,8.0,4,Masters,Yes,Yes,No,Group Study,66.7,Pass,Average
16.1,57.6,44.0,5.6,6,Bachelors,No,No,No,Group Study,41.83,Pass,Below Average
18.5,79.0,70.5,4.8,4,PhD,Yes,Yes,Yes,Online Courses,69.72,Pass,Average
12.1,78.5,33.5,6.6,4,High School,No,Yes,No,Online Courses,32.65,Fail,Poor
15.4,98.2,74.4,6.6,8,Bachelors,Yes,Yes,No,Online Courses,64.83,Pass,Average
10.4,87.6,78.3,7.4,8,High School,Yes,No,No,Online Courses,53.35,Pass,Average
13.6,67.7,56.1,7.9,5,Bachelors,No,Yes,No,Tutoring,48.12,Pass,Below Average
11.3,100.0,66.9,6.6,2,Masters,Yes,No,Yes,Group Study,62.95,Pass,Average
12.5,94.7,94.3,9.1,5,Bachelors,Yes,No,No,Tutoring,70.62,Pass,Good
15.0,87.0,57.4,7.0,8,Masters,Yes,Yes,No,Group Study,65.56,Pass,Average
7.9,77.3,49.1,6.2,10,High School,Yes,No,Yes,Online Courses,51.35,Pass,Average
22.5,68.5,87.2,4.6,6,Masters,No,No,No,Online Courses,61.0,Pass,Average
7.0,75.5,94.4,6.4,6,High School,Yes,No,No,Tutoring,53.28,Pass,Average
5.9,93.1,65.1,6.3,3,Masters,Yes,No,No,Self-study,62.88,Pass,Average
17.8,100.0,80.2,7.9,3,High School,Yes,Yes,Yes,Online Courses,69.09,Pass,Average
16.0,98.5,85.1,7.3,3,High School,Yes,No,No,Self-study,78.67,Pass,Good
15.1,74.1,53.9,5.2,10,Bachelors,Yes,Yes,No,Group Study,46.93,Pass,Below Average
15.1,66.6,57.7,6.9,5,PhD,Yes,Yes,No,Tutoring,71.93,Pass,Good
11.9,81.7,83.5,7.6,8,High School,Yes,Yes,No,Self-study,64.85,Pass,Average
7.5,58.8,90.3,8.7,6,Bachelors,Yes,Yes,No,Self-study,52.76,Pass,Average
12.4,83.9,73.4,7.9,4,Masters,No,No,No,Online Courses,56.87,Pass,Average
8.6,78.2,51.8,7.7,5,Bachelors,Yes,Yes,No,Self-study,48.32,Pass,Below Average
16.9,74.4,94.8,6.8,10,High School,Yes,No,No,Self-study,74.21,Pass,Good
11.3,60.9,57.0,7.2,7,Bachelors,Yes,No,Yes,Group Study,32.9,Fail,Poor
7.9,86.2,60.0,8.3,3,Bachelors,Yes,No,Yes,Tutoring,47.97,Pass,Below Average
10.4,73.6,70.1,5.0,9,Masters,Yes,Yes,Yes,Online Courses,46.41,Pass,Below Average
14.1,66.0,88.3,6.2,3,Masters,No,No,Yes,Online Courses,54.15,Pass,Average
9.2,45.5,77.8,5.7,7,Bachelors,Yes,Yes,Yes,Self-study,38.21,Fail,Poor
7.9,79.7,71.2,7.2,5,PhD,No,Yes,Yes,Group Study,41.73,Pass,Below Average
13.2,100.0,71.9,8.3,3,Bachelors,Yes,No,Yes,Self-study,64.87,Pass,Average
13.2,99.9,65.7,5.9,1,High School,Yes,Yes,No,Self-study,65.26,Pass,Average
9.5,74.5,73.4,3.6,7,High School,Yes,Yes,Yes,Online Courses,39.81,Fail,Poor
9.6,72.8,27.1,6.2,8,Bachelors,Yes,No,No,Self-study,41.79,Pass,Below Average
13.2,85.6,60.6,7.9,4,High School,Yes,Yes,Yes,Self-study,61.47,Pass,Average
4.8,68.0,68.6,7.4,4,PhD,No,No,No,Group Study,46.23,Pass,Below Average
5.0,83.6,47.7,7.3,6,Masters,Yes,Yes,No,Online Courses,51.65,Pass,Average
8.4,89.2,70.8,6.3,6,High School,No,Yes,No,Tutoring,36.29,Fail,Poor
10.9,94.7,61.9,5.0,6,Bachelors,Yes,Yes,No,Group Study,57.29,Pass,Average
13.6,78.8,91.3,7.4,2,Masters,Yes,Yes,Yes,Group Study,76.16,Pass,Good
19.4,77.6,88.6,5.6,9,PhD,Yes,Yes,No,Group Study,72.18,Pass,Good
16.3,69.5,58.0,9.5,7,Masters,Yes,No,No,Online Courses,55.47,Pass,Average
11.2,70.1,62.7,7.4,4,Bachelors,No,No,No,Self-study,63.25,Pass,Average
11.9,77.3,63.9,5.9,10,Masters,Yes,No,No,Tutoring,67.3,Pass,Average
7.0,84.4,58.2,5.9,5,Bachelors,Yes,Yes,No,Online Courses,55.58,Pass,Average
11.9,91.0,67.9,6.6,2,Bachelors,Yes,No,No,Self-study,71.72,Pass,Good
10.6,70.4,53.6,6.4,5,High School,Yes,No,Yes,Group Study,24.63,Fail,Poor
13.6,97.9,48.0,8.2,7,High School,Yes,No,No,Online Courses,52.73,Pass,Average
7.9,76.7,74.3,6.9,6,Bachelors,Yes,Yes,Yes,Self-study,48.93,Pass,Below Average
14.6,79.7,74.4,5.7,6,High School,Yes,No,No,Tutoring,56.46,Pass,Average
19.7,71.0,52.9,9.2,6,High School,Yes,No,Yes,Tutoring,49.2,Pass,Below Average
11.5,50.9,78.4,6.8,7,Masters,Yes,Yes,Yes,Self-study,31.06,Fail,Poor
14.0,90.6,55.5,7.7,6,High School,Yes,No,No,Online Courses,60.64,Pass,Average
15.5,88.8,68.8,5.9,3,Bachelors,Yes,Yes,No,Group Study,71.08,Pass,Good
10.0,76.6,77.3,7.2,6,Bachelors,Yes,No,No,Self-study,69.4,Pass,Average
13.1,80.8,64.5,7.1,8,PhD,Yes,No,Yes,Group Study,52.55,Pass,Average
12.1,86.2,71.8,4.2,4,Bachelors,Yes,No,Yes,Tutoring,48.91,Pass,Below Average
12.5,61.2,57.3,9.3,9,High School,Yes,Yes,No,Self-study,29.56,Fail,Poor
8.1,73.7,62.1,8.4,6,Bachelors,Yes,Yes,No,Tutoring,51.5,Pass,Average
12.1,89.5,61.9,6.2,5,Masters,Yes,No,No,Group Study,68.06,Pass,Average
14.5,64.9,53.8,5.3,6,PhD,Yes,No,No,Group Study,48.14,Pass,Below Average
19.3,83.5,62.3,7.2,10,Bachelors,Yes,Yes,No,Self-study,80.1,Pass,Good
16.8,63.7,41.8,6.8,8,High School,Yes,No,No,Self-study,41.56,Pass,Below Average
22.8,85.6,57.6,7.2,6,Masters,Yes,No,No,Self-study,71.67,Pass,Good
8.2,79.6,60.7,6.9,5,High School,Yes,Yes,No,Tutoring,41.2,Pass,Below Average
16.4,60.6,61.2,7.4,8,Bachelors,Yes,Yes,No,Group Study,56.09,Pass,Average
12.9,94.0,61.4,8.6,7,Bachelors,Yes,Yes,No,Group Study,52.57,Pass,Average
22.9,71.2,64.1,7.4,6,High School,Yes,No,No,Tutoring,66.73,Pass,Average
8.0,70.3,72.2,5.3,8,High School,Yes,No,No,Self-study,50.2,Pass,Average
7.8,82.4,78.1,8.5,8,High School,Yes,No,Yes,Online Courses,60.97,Pass,Average
9.0,93.8,55.3,8.8,5,Bachelors,Yes,No,Yes,Self-study,47.94,Pass,Below Average
1.4,67.8,47.0,10.0,6,PhD,Yes,No,No,Online Courses,45.25,Pass,Below Average
9.4,80.7,49.4,5.2,7,High School,Yes,No,Yes,Online Courses,42.68,Pass,Below Average
8.2,85.1,57.7,7.0,3,Masters,Yes,Yes,Yes,Tutoring,56.92,Pass,Average
12.8,88.3,59.7,4.0,8,High School,Yes,No,No,Group Study,45.34,Pass,Below Average
13.7,82.1,53.5,7.4,6,Bachelors,Yes,Yes,No,Group Study,41.99,Pass,Below Average
21.4,75.6,45.6,6.0,5,High School,Yes,No,No,Group Study,56.66,Pass,Average
16.8,70.1,58.2,9.2,5,PhD,No,No,No,Group Study,57.27,Pass,Average
9.1,81.0,67.7,5.7,4,Masters,Yes,Yes,No,Tutoring,55.04,Pass,Average
7.5,67.1,73.9,4.5,5,Bachelors,Yes,No,No,Online Courses,52.99,Pass,Average
14.5,44.9,56.6,6.1,6,Masters,Yes,Yes,No,Group Study,45.53,Pass,Below Average
5.4,85.2,58.8,4.1,6,Bachelors,No,No,No,Online Courses,31.98,Fail,Poor
21.2,90.8,51.1,7.7,5,PhD,Yes,Yes,No,Tutoring,60.82,Pass,Average
17.9,51.6,64.5,4.0,6,Masters,Yes,No,No,Self-study,42.47,Pass,Below Average
9.7,67.9,52.3,6.7,6,PhD,Yes,Yes,Yes,Tutoring,63.53,Pass,Average
3.4,87.4,73.6,4.0,10,Bachelors,Yes,Yes,Yes,Group Study,50.7,Pass,Average
18.8,100.0,38.2,6.3,3,High School,No,Yes,No,Self-study,57.44,Pass,Average
11.4,80.2,59.6,8.8,7,Bachelors,Yes,Yes,Yes,Tutoring,53.05,Pass,Average
18.2,71.3,69.5,7.2,10,High School,Yes,Yes,No,Tutoring,56.83,Pass,Average
4.0,77.8,67.8,5.6,8,Bachelors,No,No,No,Online Courses,48.73,Pass,Below Average
9.0,96.5,100.0,6.7,4,Bachelors,Yes,Yes,No,Tutoring,71.68,Pass,Good
12.0,72.2,70.2,6.7,7,Bachelors,Yes,Yes,No,Self-study,60.96,Pass,Average
12.2,70.4,49.9,7.3,9,High School,Yes,Yes,No,Tutoring,43.65,Pass,Below Average
9.7,74.2,63.6,4.9,6,High School,Yes,No,Yes,Group Study,54.75,Pass,Average
15.1,68.6,38.4,7.5,5,Bachelors,Yes,No,No,Online Courses,53.11,Pass,Average
6.7,81.5,63.8,3.2,6,PhD,Yes,No,No,Self-study,59.97,Pass,Average
11.3,99.5,52.5,5.9,0,Bachelors,Yes,No,No,Self-study,57.4,Pass,Average
12.6,83.9,78.7,6.1,7,Bachelors,Yes,Yes,No,Tutoring,71.48,Pass,Good
14.6,77.0,56.8,7.5,5,Masters,Yes,Yes,Yes,Group Study,54.49,Pass,Average
15.6,76.5,63.2,6.7,7,Bachelors,Yes,Yes,Yes,Online Courses,56.14,Pass,Average
6.4,61.2,55.5,4.9,8,High School,No,No,Yes,Self-study,34.59,Fail,Poor
4.3,90.6,91.1,5.4,2,Bachelors,Yes,No,No,Online Courses,55.22,Pass,Average
18.4,79.1,60.2,7.0,11,High School,Yes,No,No,Tutoring,57.58,Pass,Average
13.7,77.8,92.5,6.6,6,PhD,No,Yes,No,Group Study,70.66,Pass,Good
8.3,100.0,77.2,5.9,2,High School,Yes,Yes,No,Tutoring,67.95,Pass,Average
19.8,83.6,72.2,6.1,8,Bachelors,Yes,Yes,No,Online Courses,65.72,Pass,Average
12.6,71.0,70.5,7.6,8,High School,Yes,No,No,Tutoring,67.06,Pass,Average
17.9,74.9,70.9,6.0,9,High School,Yes,Yes,Yes,Online Courses,45.62,Pass,Below Average
12.3,93.8,36.1,6.6,7,Masters,Yes,No,Yes,Self-study,60.04,Pass,Average
22.3,81.4,60.8,9.5,7,High School,No,Yes,No,Self-study,70.98,Pass,Good
20.8,62.7,77.7,4.8,6,High School,Yes,No,No,Tutoring,70.5,Pass,Good
10.8,91.0,64.3,4.3,3,Bachelors,Yes,No,No,Self-study,47.09,Pass,Below Average
16.9,72.0,43.9,7.7,7,High School,Yes,No,No,Online Courses,43.16,Pass,Below Average
15.2,100.0,64.2,5.8,4,High School,Yes,No,No,Self-study,74.51,Pass,Good
18.8,93.0,90.6,6.3,9,Masters,Yes,No,Yes,Group Study,60.88,Pass,Average
7.2,74.6,83.7,5.7,6,Masters,Yes,No,Yes,Group Study,41.66,Pass,Below Average
15.4,95.4,64.1,6.4,2,Masters,Yes,No,No,Tutoring,66.63,Pass,Average
17.3,80.8,79.3,8.8,2,Masters,Yes,No,No,Tutoring,75.89,Pass,Good
3.2,90.2,59.5,7.7,6,Bachelors,Yes,No,Yes,Tutoring,57.94,Pass,Average
6.1,85.8,39.4,7.8,4,High School,Yes,No,Yes,Tutoring,37.72,Fail,Poor
1.8,69.8,51.1,4.9,6,Masters,Yes,No,Yes,Online Courses,28.8,Fail,Poor
10.7,72.3,88.4,5.2,4,Masters,Yes,No,No,Online Courses,63.83,Pass,Average
15.6,92.4,60.9,3.0,4,Masters,Yes,Yes,No,Group Study,67.27,Pass,Average
19.5,76.0,61.3,5.6,6,Bachelors,Yes,Yes,Yes,Online Courses,60.58,Pass,Average
12.4,75.2,60.5,7.9,5,High School,No,No,Yes,Self-study,41.18,Pass,Below Average
20.1,68.5,93.6,7.4,3,Masters,Yes,No,Yes,Group Study,57.19,Pass,Average
5.1,85.1,89.4,6.4,2,Masters,No,No,No,Tutoring,52.03,Pass,Average
3.5,100.0,98.3,6.7,5,PhD,Yes,Yes,Yes,Tutoring,79.46,Pass,Good
11.7,67.2,62.6,5.8,6,High School,No,No,No,Online Courses,41.73,Pass,Below Average
13.9,80.3,69.4,7.0,3,High School,Yes,No,Yes,Group Study,52.15,Pass,Average
11.8,96.9,42.3,7.7,8,High School,No,Yes,Yes,Online Courses,51.95,Pass,Average
1.7,79.0,87.2,4.6,10,Masters,Yes,No,No,Online Courses,43.45,Pass,Below Average
11.6,85.4,47.5,7.1,2,High School,Yes,No,No,Online Courses,50.12,Pass,Average
5.5,67.3,68.3,7.9,8,High School,No,Yes,Yes,Group Study,36.06,Fail,Poor
15.3,85.1,48.5,6.2,3,PhD,Yes,No,No,Tutoring,59.03,Pass,Average
13.8,77.8,56.2,7.6,9,High School,Yes,No,No,Self-study,52.12,Pass,Average
7.3,91.8,52.4,10.0,2,Masters,Yes,Yes,No,Tutoring,61.65,Pass,Average
9.4,94.2,55.9,6.6,4,Bachelors,No,Yes,No,Group Study,44.1,Pass,Below Average
6.7,100.0,56.9,7.2,7,Masters,Yes,No,No,Tutoring,60.55,Pass,Average
11.7,87.0,56.8,5.7,7,Bachelors,Yes,Yes,No,Tutoring,47.5,Pass,Below Average
16.8,83.9,77.5,6.9,4,Masters,Yes,Yes,Yes,Self-study,69.53,Pass,Average
7.1,82.3,48.4,7.3,5,PhD,Yes,Yes,No,Tutoring,64.15,Pass,Average
14.5,75.8,68.3,7.0,6,High School,Yes,No,No,Tutoring,54.03,Pass,Average
9.3,84.1,83.3,5.4,5,High School,Yes,No,Yes,Tutoring,44.81,Pass,Below Average
8.0,76.5,57.3,7.0,6,High School,Yes,No,Yes,Online Courses,40.41,Pass,Below Average
11.5,82.0,54.2,8.6,4,Bachelors,No,Yes,Yes,Group Study,42.86,Pass,Below Average
6.8,95.8,61.5,7.3,4,Masters,Yes,No,No,Group Study,64.87,Pass,Average
9.2,67.9,82.7,8.0,6,Bachelors,Yes,Yes,No,Self-study,57.8,Pass,Average
6.0,93.7,67.9,6.4,7,Bachelors,Yes,Yes,No,Online Courses,69.83,Pass,Average
21.8,95.8,57.0,7.7,7,High School,Yes,No,Yes,Online Courses,71.51,Pass,Good
12.2,78.6,72.3,7.1,5,Masters,Yes,Yes,No,Tutoring,62.99,Pass,Average
8.5,54.5,48.5,5.5,9,PhD,Yes,No,No,Group Study,44.0,Pass,Below Average
13.1,72.7,75.2,7.1,5,High School,Yes,No,No,Self-study,53.6,Pass,Average
11.4,95.6,71.1,5.4,2,Bachelors,Yes,Yes,No,Online Courses,66.73,Pass,Average
10.9,79.7,60.4,5.9,6,High School,Yes,No,No,Tutoring,47.17,Pass,Below Average
15.1,68.0,52.4,6.9,4,Bachelors,Yes,No,No,Self-study,57.56,Pass,Average
15.8,73.9,51.7,7.1,7,Bachelors,Yes,No,No,Online Courses,63.79,Pass,Average
9.3,90.1,73.0,5.2,4,High School,Yes,Yes,No,Self-study,63.6,Pass,Average
9.1,86.6,83.4,8.1,12,Bachelors,Yes,No,No,Online Courses,68.41,Pass,Average
10.6,77.1,55.4,7.4,5,High School,Yes,Yes,No,Self-study,57.25,Pass,Average
0.5,75.6,71.9,5.8,6,Bachelors,Yes,No,Yes,Online Courses,43.75,Pass,Below Average
4.4,75.3,33.7,4.7,12,Bachelors,Yes,Yes,Yes,Online Courses,20.55,Fail,Poor
18.8,68.9,56.2,6.5,8,High School,Yes,No,Yes,Self-study,59.08,Pass,Average
20.2,99.4,64.5,6.1,3,Masters,Yes,Yes,No,Online Courses,89.91,Pass,Excellent
10.8,76.1,51.4,6.8,5,Masters,Yes,Yes,No,Online Courses,52.56,Pass,Average
14.9,94.6,51.0,6.2,4,Bachelors,Yes,No,Yes,Online Courses,54.16,Pass,Average
13.6,98.3,55.0,4.1,3,High School,No,No,Yes,Self-study,50.77,Pass,Average
27.4,92.0,69.4,6.2,4,Masters,No,No,No,Self-study,79.63,Pass,Good
17.6,74.8,62.2,6.3,4,PhD,Yes,No,No,Online Courses,63.26,Pass,Average
11.4,84.8,31.4,7.5,6,High School,Yes,Yes,No,Online Courses,37.67,Fail,Poor
7.2,79.7,33.2,5.8,8,High School,Yes,No,No,Self-study,37.63,Fail,Poor
4.0,69.2,55.9,8.9,6,High School,Yes,No,No,Tutoring,44.66,Pass,Below Average
13.0,83.9,71.9,4.2,6,Bachelors,Yes,Yes,No,Online Courses,65.22,Pass,Average
8.2,65.9,23.8,8.4,6,High School,Yes,No,No,Tutoring,34.69,Fail,Poor
4.9,94.3,57.5,6.4,5,Bachelors,Yes,No,Yes,Self-study,46.48,Pass,Below Average
8.8,74.4,57.1,7.8,7,Bachelors,Yes,No,No,Online Courses,56.63,Pass,Average
6.6,82.4,85.8,6.8,8,Bachelors,Yes,No,No,Tutoring,59.22,Pass,Average
20.4,83.4,59.2,8.2,5,Bachelors,Yes,No,No,Self-study,64.34,Pass,Average
16.4,76.9,70.7,6.2,8,Bachelors,Yes,Yes,No,Tutoring,61.12,Pass,Average
12.0,87.0,67.1,5.3,4,Bachelors,Yes,Yes,No,Group Study,49.22,Pass,Below Average
19.4,74.3,33.0,8.5,3,High School,Yes,No,Yes,Self-study,46.06,Pass,Below Average
12.4,90.5,76.5,6.6,7,High School,Yes,Yes,No,Group Study,67.85,Pass,Average
7.7,63.8,68.2,7.0,8,Masters,Yes,Yes,Yes,Self-study,48.48,Pass,Below Average
19.6,81.5,72.6,8.3,9,High School,Yes,Yes,Yes,Self-study,72.98,Pass,Good
14.7,100.0,100.0,5.4,4,Masters,Yes,No,Yes,Online Courses,74.71,Pass,Good
6.8,68.0,33.7,7.5,10,PhD,Yes,Yes,No,Group Study,45.04,Pass,Below Average
11.0,71.9,90.9,5.9,4,High School,Yes,No,No,Group Study,63.49,Pass,Average
7.6,86.2,60.7,6.5,3,Bachelors,No,No,No,Group Study,64.95,Pass,Average
5.1,82.2,69.3,6.8,3,Bachelors,Yes,Yes,No,Self-study,56.44,Pass,Average
16.6,84.2,64.3,4.7,6,Masters,Yes,No,No,Group Study,55.67,Pass,Average
21.5,85.9,58.6,5.7,8,PhD,Yes,No,No,Group Study,75.02,Pass,Good
5.0,87.6,56.5,8.5,3,Masters,No,No,No,Online Courses,63.05,Pass,Average
14.8,93.3,69.9,7.9,3,High School,Yes,No,No,Tutoring,64.21,Pass,Average
8.7,84.9,42.2,6.6,11,Bachelors,No,Yes,No,Tutoring,47.22,Pass,Below Average
9.6,77.1,76.3,7.0,6,Bachelors,Yes,No,No,Group Study,66.03,Pass,Average
9.0,88.1,58.8,6.3,4,Bachelors,Yes,Yes,No,Group Study,64.1,Pass,Average
7.7,100.0,48.0,8.5,9,High School,No,No,No,Group Study,47.54,Pass,Below Average
12.2,78.4,58.2,6.4,4,High School,Yes,No,Yes,Group Study,42.11,Pass,Below Average
7.8,68.3,83.9,7.0,6,Masters,Yes,No,Yes,Tutoring,52.1,Pass,Average
13.4,93.3,57.0,8.2,4,Bachelors,Yes,Yes,No,Online Courses,68.74,Pass,Average
11.7,78.6,70.4,5.7,4,High School,Yes,Yes,No,Self-study,62.04,Pass,Average
10.8,53.9,54.0,8.7,7,Bachelors,Yes,Yes,Yes,Group Study,43.38,Pass,Below Average
7.5,90.2,76.4,4.7,7,Masters,Yes,No,No,Group Study,56.8,Pass,Average
9.1,73.6,75.3,8.8,4,Masters,Yes,Yes,Yes,Tutoring,62.03,Pass,Average
15.8,78.9,92.7,6.2,12,High School,Yes,No,No,Group Study,68.99,Pass,Average
14.5,84.0,62.4,6.4,6,High School,No,Yes,No,Online Courses,55.02,Pass,Average
7.1,82.3,75.0,4.2,6,High School,Yes,No,No,Online Courses,43.84,Pass,Below Average
12.5,88.5,66.5,6.1,5,PhD,Yes,Yes,Yes,Group Study,61.53,Pass,Average
15.8,74.8,84.4,5.3,4,Bachelors,Yes,No,Yes,Tutoring,66.4,Pass,Average
3.7,86.2,54.2,5.9,7,Bachelors,Yes,No,No,Group Study,36.22,Fail,Poor
14.7,76.9,76.2,6.5,5,Bachelors,Yes,No,Yes,Group Study,43.71,Pass,Below Average
8.7,88.9,62.1,7.9,3,Bachelors,No,No,No,Tutoring,63.82,Pass,Average
14.9,87.4,64.0,7.0,3,Masters,Yes,Yes,No,Online Courses,71.76,Pass,Good
8.2,68.8,66.4,7.1,5,Bachelors,Yes,No,Yes,Self-study,49.68,Pass,Below Average
3.0,93.0,68.8,5.3,7,High School,Yes,Yes,Yes,Group Study,38.21,Fail,Poor
3.9,73.6,63.3,5.6,13,High School,Yes,Yes,No,Online Courses,44.07,Pass,Below Average
12.2,89.7,68.2,9.0,4,Bachelors,No,No,Yes,Group Study,57.95,Pass,Average
13.3,84.4,88.7,5.7,6,PhD,Yes,No,Yes,Self-study,56.05,Pass,Average
7.5,100.0,79.8,8.9,3,High School,Yes,No,No,Tutoring,76.02,Pass,Good
15.2,77.3,78.0,6.4,6,Masters,Yes,Yes,No,Online Courses,68.3,Pass,Average
3.7,75.8,58.2,6.7,4,Masters,Yes,Yes,No,Self-study,46.67,Pass,Below Average
11.7,79.8,51.7,8.1,11,High School,Yes,Yes,Yes,Group Study,42.78,Pass,Below Average
5.9,76.4,79.3,8.4,8,High School,Yes,Yes,No,Self-study,40.1,Pass,Below Average
8.7,89.6,78.1,6.6,4,High School,Yes,Yes,No,Online Courses,65.04,Pass,Average
12.2,60.6,87.1,6.2,8,Masters,Yes,Yes,No,Tutoring,61.24,Pass,Average
7.7,67.4,55.9,6.6,5,High School,Yes,Yes,No,Group Study,41.77,Pass,Below Average
10.1,67.2,61.6,7.1,6,Bachelors,No,No,No,Tutoring,52.39,Pass,Average
17.0,91.4,40.4,7.9,6,Bachelors,No,Yes,No,Tutoring,46.44,Pass,Below Average
9.1,100.0,59.1,6.7,2,Masters,Yes,No,Yes,Self-study,55.48,Pass,Average
16.2,78.7,79.9,7.5,6,High School,Yes,Yes,No,Self-study,59.48,Pass,Average
6.4,78.0,58.0,8.8,4,Bachelors,Yes,No,No,Online Courses,49.93,Pass,Below Average
14.6,80.8,74.6,7.2,7,Bachelors,Yes,No,No,Online Courses,64.02,Pass,Average
19.2,93.9,62.1,7.1,4,Bachelors,Yes,Yes,Yes,Tutoring,70.53,Pass,Good
0.0,68.9,69.9,4.7,7,Masters,Yes,No,Yes,Online Courses,34.11,Fail,Poor
8.0,82.9,47.8,3.3,7,High School,No,Yes,No,Tutoring,29.64,Fail,Poor
14.9,91.7,66.3,7.2,2,Masters,No,No,No,Group Study,75.69,Pass,Good
11.0,86.0,20.1,6.6,4,Bachelors,Yes,Yes,No,Tutoring,61.96,Pass,Average
13.9,82.3,62.2,6.0,5,Bachelors,Yes,No,Yes,Online Courses,54.82,Pass,Average
9.0,92.0,40.5,7.0,3,Bachelors,Yes,Yes,Yes,Online Courses,44.11,Pass,Below Average
12.4,47.6,83.1,6.6,10,Bachelors,Yes,Yes,No,Tutoring,60.56,Pass,Average
11.2,88.1,76.7,8.2,3,High School,Yes,No,No,Self-study,53.5,Pass,Average
17.8,72.2,72.0,6.8,9,Bachelors,Yes,Yes,No,Tutoring,60.46,Pass,Average
13.3,58.0,87.8,5.7,6,Bachelors,No,No,No,Tutoring,45.56,Pass,Below Average
13.7,86.1,50.8,8.0,4,Bachelors,Yes,No,No,Self-study,51.06,Pass,Average
9.9,96.5,91.2,6.4,6,High School,Yes,No,No,Group Study,64.71,Pass,Average
9.6,78.4,79.0,7.4,8,Masters,Yes,Yes,No,Self-study,56.73,Pass,Average
9.8,91.4,61.5,6.1,3,Bachelors,Yes,No,No,Online Courses,58.74,Pass,Average
14.0,99.3,82.0,5.9,3,High School,Yes,No,No,Self-study,69.54,Pass,Average
9.9,95.8,48.4,6.8,3,Bachelors,No,Yes,Yes,Online Courses,44.19,Pass,Below Average
13.4,99.7,52.6,6.7,6,Masters,Yes,Yes,No,Online Courses,63.59,Pass,Average
22.4,88.9,55.9,7.3,1,Masters,Yes,Yes,Yes,Tutoring,69.06,Pass,Average
16.4,80.9,57.1,6.4,3,Bachelors,Yes,No,No,Tutoring,65.54,Pass,Average
10.4,60.8,49.2,4.3,11,Masters,Yes,Yes,No,Group Study,39.68,Fail,Poor
18.0,77.0,83.3,6.1,8,High School,Yes,No,Yes,Online Courses,64.24,Pass,Average
10.0,69.9,61.1,7.7,5,Bachelors,Yes,Yes,No,Tutoring,57.13,Pass,Average
1.8,100.0,70.3,6.3,7,Masters,Yes,Yes,Yes,Online Courses,58.69,Pass,Average
7.0,77.9,56.4,6.4,4,Masters,Yes,No,No,Group Study,60.31,Pass,Average
2.6,81.5,37.7,8.0,9,Bachelors,Yes,No,No,Online Courses,31.4,Fail,Poor
